"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_cindy_professional_lighting_co_ltd_cl_800plus_bswf_1","0x2D85","Cindy Professional Lighting Co Ltd","0x3536","CL 800PLUS BSWF","1","1","y","y","www.cindylight.com"
"Oem_cindy_professional_lighting_co_ltd_cp2_bar_1","0x2DCE","Cindy Professional Lighting Co Ltd","0x3536","CP2 BAR","1","1","y","y","www.cindylight.com"
"Oem_cindy_professional_lighting_co_ltd_cp3_bswf_1","0x2DCD","Cindy Professional Lighting Co Ltd","0x3536","CP3 BSWF","1","1","y","y","www.cindylight.com"
"Oem_cindy_professional_lighting_co_ltd_cp3_wash_1","0x2DCC","Cindy Professional Lighting Co Ltd","0x3536","CP3 WASH","1","1","y","y","www.cindylight.com"
"Oem_cindy_professional_lighting_co_ltd_tough_800_bar_1","0x2CB8","Cindy Professional Lighting Co Ltd","0x3536","TOUGH 800 BAR","1","0","y","y","http://www.cindylight.com/product/tough-800-bar-2/"
"Oem_city_theatrical_dmxcat_e_1","0x2CF5","City Theatrical","0x4354","DMXcat E","1","1","y","y","www.citytheatrical.com"
"Oem_city_theatrical_multiverse_gateway_1","0x297F","City Theatrical","0x4354 ","Multiverse Gateway","0","18","y","y","www.citytheatrical.com"
"Oem_city_theatrical_multiverse_transmitter_1","0x2980","City Theatrical","0x4354 ","Multiverse Transmitter","0","10","y","y","www.citytheatrical.com"
"Oem_clay_paky_axcor_prof_600_hc_st_1","0x298B","CLAYPAKY","0x4350 ","AXCOR PROFILE 600 HC ST","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_axcor_prof_600_st_1","0x298C","CLAYPAKY","0x4350 ","AXCOR PROFILE 600 ST","1","1","y","y","www.claypaky.it"
"Oem_claypaky_actoris_fresnel_1","0x2D05","CLAYPAKY","0x4350","ACTORIS FRESNEL","1","1","y","y","www.claypaky.it"
"Oem_claypaky_actoris_parled_1","0x2B3B","CLAYPAKY","0x4350 ","ACTORIS PARLED","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_actoris_parled_rgbw_1","0x2BE4","CLAYPAKY","0x4350 ","ACTORIS PARLED RGBW","1","1","y","y","www.claypaky.it"
"Oem_claypaky_actoris_profile_fc_1","0x2C27","CLAYPAKY","0x4350 ","ACTORIS PROFILE FC","1","1","y","y","www.claypaky.it"
"Oem_claypaky_aleda_beam_200_1","0x2976","CLAYPAKY","0x4350 ","ALEDA BEAM 200","1","1","y","y","www.claypaky.it"
"Oem_claypaky_alqimya_1","0x2A38","CLAYPAKY","0x4350 ","ALQIMYA","1","1","y","y","https://www.claypaky.it/"
"Oem_claypaky_arolla_aqua_1","0x2C25","CLAYPAKY","0x4350 ","AROLLA AQUA","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_hp_1","0x2DB6","CLAYPAKY","0x4350","AROLLA AQUA HP","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_hp_fs_1","0x2DB5","CLAYPAKY","0x4350","AROLLA AQUA HP FS","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_lt_1","0x2D07","CLAYPAKY","0x4350","AROLLA AQUA LT","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_lt_fs_1","0x2D26","CLAYPAKY","0x4350","AROLLA AQUA LT FS","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_mp_1","0x2DB4","CLAYPAKY","0x4350","AROLLA AQUA MP","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_sp_1","0x2DB3","CLAYPAKY","0x4350","AROLLA AQUA SP","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_aqua_wash_hc_1","0x2D06","CLAYPAKY","0x4350","AROLLA AQUA WASH HC","1","1","y","y","www.claypaky.it"
"Oem_claypaky_arolla_profile_hp_1","0x2A77","CLAYPAKY","0x4350 ","AROLLA PROFILE HP","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_arolla_profile_mp_1","0x2A76","CLAYPAKY","0x4350 ","AROLLA PROFILE MP","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_arolla_spot_mp_1","0x2A75","CLAYPAKY","0x4350 ","AROLLA SPOT MP","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_axcor_profile_400_1","0x2945","CLAYPAKY","0x4350 ","AXCOR PROFILE 400","2","1","1","y","http://www.claypaky.it"
"Oem_claypaky_axcor_profile_400_hc_1","0x2944","CLAYPAKY","0x4350 ","AXCOR PROFILE 400 HC","1","1","y","y","http://www.claypaky.it"
"Oem_claypaky_axcor_profile_600_1","0x2947","CLAYPAKY","0x4350 ","AXCOR PROFILE 600","2","2","y","RDM","http://www.claypaky.it"
"Oem_claypaky_axcor_profile_600_hc_1","0x2946","CLAYPAKY","0x4350 ","AXCOR PROFILE 600 HC","2","2","y","y","http://www.claypaky.it"
